coincidence_sum,duration,similarity,stations,time,trace_ids
3.0,1.7999999523162842,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:56:55.912700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,1.9249999523162842,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:58:19.687700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,2.3249998092651367,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:58:59.037700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHN', u'AU.MAW..BHE']"
3.0,1.5499999523162842,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:00:18.112700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHN', u'AU.MAW..BHZ']"
3.0,2.075000047683716,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:01:11.762700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,2.1500000953674316,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:02:09.737700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHN', u'AU.MAW..BHZ']"
3.0,2.0749998092651367,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:02:35.737700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHN', u'AU.MAW..BHZ']"
3.0,1.875,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:02:42.712700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHE', u'AU.MAW..BHZ']"
3.0,4.4750001430511475,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:03:51.287700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,4.049999713897705,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:04:02.762700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,1.5,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:04:28.612700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHN', u'AU.MAW..BHZ']"
3.0,2.0500001907348633,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:05:09.812700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHN', u'AU.MAW..BHE']"
3.0,1.9750001430511475,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:05:21.662700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHE', u'AU.MAW..BHZ']"
3.0,1.375000238418579,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:05:31.312700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,2.625,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:05:33.287700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHE', u'AU.MAW..BHZ']"
3.0,2.299999952316284,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:05:56.012700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,1.9000000953674316,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:07:14.562700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,2.1999998092651367,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:07:57.612700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHN', u'AU.MAW..BHZ']"
