start_time,stop_time,cluster
2007-01-05 19:01:35.337700,2007-01-05 19:01:37.962700,10
2007-01-05 19:50:20.787700,2007-01-05 19:50:22.537700,10
2007-01-05 19:54:01.262700,2007-01-05 19:54:04.062700,10
2007-01-05 19:58:39.487700,2007-01-05 19:58:41.987700,10
2007-01-05 20:01:03.137700,2007-01-05 20:01:04.612700,10
2007-01-05 20:01:32.412700,2007-01-05 20:01:35.887700,10
2007-01-05 20:05:50.187700,2007-01-05 20:05:52.387700,10
2007-01-05 20:17:58.237700,2007-01-05 20:18:00.312700,10
2007-01-05 20:34:16.462700,2007-01-05 20:34:19.437700,10
2007-01-05 20:43:35.012700,2007-01-05 20:43:36.712700,10
2007-01-05 20:47:45.962700,2007-01-05 20:47:48.812700,10
2007-01-05 20:54:37.162700,2007-01-05 20:54:38.837700,10
2007-01-05 20:56:15.537700,2007-01-05 20:56:17.462700,10
2007-01-05 20:58:50.887700,2007-01-05 20:58:55.162700,10
2007-01-05 21:03:21.987700,2007-01-05 21:03:24.262700,10
2007-01-05 21:16:48.362700,2007-01-05 21:16:50.962700,10
2007-01-05 21:18:18.912700,2007-01-05 21:18:21.412700,10
2007-01-05 21:28:34.587700,2007-01-05 21:28:36.537700,10
2007-01-05 21:30:59.612700,2007-01-05 21:31:01.487700,10
2007-01-05 21:36:07.862700,2007-01-05 21:36:10.862700,10
2007-01-05 21:57:25.987700,2007-01-05 21:57:28.362700,10
2007-01-05 22:13:45.587700,2007-01-05 22:13:47.612700,10
2007-01-05 22:20:57.312700,2007-01-05 22:21:00.162700,10
2007-01-05 22:24:15.187700,2007-01-05 22:24:17.362700,10
2007-01-05 22:36:54.112700,2007-01-05 22:36:56.462700,10
2007-01-05 22:39:32.287700,2007-01-05 22:39:34.312700,10
2007-01-05 22:40:32.887700,2007-01-05 22:40:35.287700,10
2007-01-05 22:51:18.237700,2007-01-05 22:51:19.962700,10
2007-01-05 22:52:16.062700,2007-01-05 22:52:19.062700,10
2007-01-05 22:56:45.212700,2007-01-05 22:56:46.887700,10
2007-01-05 23:04:34.212700,2007-01-05 23:04:37.537700,10
2007-01-05 23:08:03.037700,2007-01-05 23:08:06.137700,10
2007-01-05 23:09:34.787700,2007-01-05 23:09:37.162700,10
2007-01-05 23:12:47.637700,2007-01-05 23:12:51.062700,10
2007-01-05 23:18:07.162700,2007-01-05 23:18:09.462700,10
2007-01-05 23:27:58.137700,2007-01-05 23:28:00.487700,10
2007-01-05 23:32:07.787700,2007-01-05 23:32:09.437700,10
2007-01-05 23:38:49.312700,2007-01-05 23:38:51.387700,10
2007-01-05 23:41:30.437700,2007-01-05 23:41:31.912700,10
2007-01-05 23:45:37.687700,2007-01-05 23:45:39.512700,10
2007-01-06 00:05:45.687700,2007-01-06 00:05:48.237700,10
2007-01-06 00:19:20.237700,2007-01-06 00:19:22.062700,10
2007-01-06 00:25:18.112700,2007-01-06 00:25:20.987700,10
2007-01-06 00:28:26.362700,2007-01-06 00:28:28.737700,10
2007-01-06 00:45:25.262700,2007-01-06 00:45:29.162700,10
2007-01-06 01:19:13.287700,2007-01-06 01:19:15.737700,10
2007-01-06 01:46:55.062700,2007-01-06 01:46:57.587700,10
2007-01-06 01:53:09.712700,2007-01-06 01:53:11.712700,10
2007-01-06 02:15:12.162700,2007-01-06 02:15:15.437700,10
2007-01-06 02:31:25.987700,2007-01-06 02:31:28.137700,10
2007-01-06 03:05:42.487700,2007-01-06 03:05:44.462700,10
2007-01-06 04:22:00.387700,2007-01-06 04:22:02.212700,10
2007-01-06 05:07:43.337700,2007-01-06 05:07:45.387700,10
2007-01-06 05:21:56.812700,2007-01-06 05:22:00.587700,10
2007-01-06 05:23:14.587700,2007-01-06 05:23:17.737700,10
2007-01-06 05:26:19.812700,2007-01-06 05:26:23.287700,10
2007-01-06 05:49:27.587700,2007-01-06 05:49:29.662700,10
2007-01-06 05:51:25.737700,2007-01-06 05:51:29.012700,10
2007-01-06 06:14:11.387700,2007-01-06 06:14:13.562700,10
2007-01-06 06:31:27.937700,2007-01-06 06:31:30.412700,10
2007-01-06 06:48:52.687700,2007-01-06 06:48:54.837700,10
